snapshot_date,category,rank,brand,product_name,rating,current_price_usd,source_url
2026-07-11,global_homepage_all,1,MEDIHEAL,Toner Pad 100+100 Pads Double Set,4.9,34.04,https://global.oliveyoung.com/
2026-07-11,global_homepage_all,2,MEDIHEAL,Essential Mask Sheet 10ea Set,4.8,13.50,https://global.oliveyoung.com/
2026-07-11,global_homepage_all,3,Losy kim,PDRN Tinted Lip Ampoule,4.7,19.25,https://global.oliveyoung.com/
2026-07-11,global_homepage_all,4,tooq,Volume Glaze Syrup Tint,4.8,13.31,https://global.oliveyoung.com/
2026-07-11,global_homepage_all,5,FOODOLOGY,Coleology Cutting Jelly 30 Sticks,,45.21,https://global.oliveyoung.com/
2026-07-11,global_homepage_all,6,beplain,Mung Bean pH-Balanced Cleansing Foam,4.8,,https://global.oliveyoung.com/
2026-07-11,global_homepage_all,7,UNOVE,Deep Damage Repair Hair Mask,4.8,,https://global.oliveyoung.com/
2026-07-11,global_homepage_all,8,SKIN1004,Madagascar Centella Hyalu-Cica Water-Fit Sun Serum,4.9,23.80,https://global.oliveyoung.com/

