market_group,posts,median_likes,median_saves,median_comments,median_shares,median_engagement,median_save_like_ratio
K-beauty,233,965.5,322.0,38.0,49.0,1806.0,0.3412856370618423
Thai beauty,139,2855.0,659.0,130.0,144.0,6020.0,0.28061019670814935
unknown,128,2797.0,1143.0,198.0,231.5,5858.5,0.42696629213483145
J-beauty,106,1944.0,779.0,63.0,156.5,4513.0,0.40267558528428093
Premium C-beauty,16,3417.0,1042.0,151.0,99.0,6084.0,0.2487231869254341
Affordable C-beauty,13,3942.0,1049.0,109.0,91.0,6538.0,0.3721209213051823
International luxury,10,3012.0,973.0,139.5,175.5,6318.0,0.3738562091503268
